Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90.0,29.39
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28.0,12.46
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7.0,21.48
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91.0,56.5
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28.0,29.22
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3.0,23.64
262.0,111.0,86.0,195.0,5.0,895.0,733.0,28.0,33.72
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28.0,30.65
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0,53.39
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14.0,27.92
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28.0,24.54
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28.0,55.55
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.99
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,52.01
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360.0,38.11
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.76
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7.0,25.89
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7.0,10.34
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28.0,44.64
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14.0,24.45
159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28.0,39.46
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14.0,22.14
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,11.96
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.8
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,17.58
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28.0,51.02
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56.0,36.97
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56.0,61.46
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28.0,30.22
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14.0,29.75
331.0,170.0,0.0,195.0,8.0,811.0,802.0,28.0,56.61
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0,30.14
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100.0,35.34
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90.0,69.66
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28.0,26.91
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56.0,42.7
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28.0,76.24
387.0,20.0,94.0,157.0,13.9,938.0,845.0,3.0,25.51
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14.0,26.31
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.3
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.93
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7.0,15.58
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28.0,37.17
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56.0,59.59
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.05
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28.0,13.2
387.0,20.0,94.0,157.0,14.3,938.0,845.0,28.0,50.24
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28.0,39.42
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28.0,19.99
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3.0,15.36
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28.0,43.94
284.0,15.0,141.0,179.0,5.5,842.0,801.0,56.0,44.52
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2
203.5,305.3,0.0,203.5,0.0,963.4,630.0,90.0,51.86
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,25.02
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28.0,49.25
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7.0,26.06
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28.0,24.24
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3.0,8.2
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.0
296.0,0.0,107.0,221.0,11.0,819.0,778.0,28.0,31.42
480.0,0.0,0.0,192.0,0.0,936.0,721.0,90.0,54.28
183.9,122.6,0.0,203.5,0.0,959.2,800.0,7.0,10.79
153.0,102.0,0.0,192.0,0.0,888.0,943.1,90.0,26.32
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90.0,37.23
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28.0,69.84
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7.0,15.07
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,56.14
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0,33.08
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270.0,67.11
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3.0,14.99
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28.0,55.94
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05
326.5,0.0,137.9,199.0,10.8,801.1,792.5,28.0,38.63
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0,66.6
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14.0,16.88
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100.0,55.64
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28.0,26.23
155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28.0,18.28
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28.0,52.45
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28.0,44.61
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.68
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14.0,27.04
212.0,141.3,0.0,203.5,0.0,973.4,750.0,3.0,6.81
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,25.75
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28.0,39.94
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0,16.89
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.7
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56.0,39.27
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.1
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7.0,24.0
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7.0,9.01
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28.0,31.64
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.7
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.45
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.64
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28.0,26.2
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3.0,26.06
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.05
350.0,0.0,0.0,203.0,0.0,974.0,775.0,14.0,22.53
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28.0,39.7
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,51.02
116.0,173.0,0.0,192.0,0.0,909.8,891.9,28.0,22.35
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7.0,17.54
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7.0,14.84
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28.0,18.29
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56.0,51.96
331.0,0.0,0.0,192.0,0.0,978.0,825.0,7.0,16.26
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100.0,40.39
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28.0,26.86
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7.0,12.73
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56.0,72.3
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3.0,11.98
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28.0,60.28
277.1,0.0,97.4,160.6,11.8,973.9,875.6,14.0,41.89
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3.0,27.42
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3.0,15.87
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.38
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28.0,52.43
302.0,0.0,0.0,203.0,0.0,974.0,817.0,180.0,26.74
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14.0,17.84
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55
265.0,111.0,86.0,195.0,6.0,833.0,790.0,28.0,41.54
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28.0,43.8
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28.0,26.92
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3.0,9.73
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3.0,13.36
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3.0,19.11
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.72
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56.0,27.66
149.5,236.0,0.0,175.8,12.6,846.8,892.7,28.0,32.96
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7.0,19.35
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56.0,38.33
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7.0,9.62
166.8,250.2,0.0,203.5,0.0,975.6,692.6,90.0,43.57
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28.0,23.7
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14.0,48.4
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.08
298.1,0.0,107.0,186.4,6.1,879.0,815.2,28.0,42.64
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180.0,32.72
162.0,190.0,148.0,179.0,19.0,838.0,741.0,28.0,33.76
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.21
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28.0,37.4
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56.0,51.04
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3.0,13.57
313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28.0,44.52
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14.0,23.51
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28.0,31.35
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56.0,33.96
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28.0,39.58
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7.0,11.39
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28.0,46.68
272.6,0.0,89.6,198.7,10.6,931.3,762.2,28.0,32.25
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56.0,37.27
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7.0,14.6
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3.0,2.33
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.9
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7.0,9.99
312.7,0.0,0.0,178.1,8.0,999.7,822.2,28.0,25.1
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29
296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7.0,18.91
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.1
203.5,305.3,0.0,203.5,0.0,963.4,630.0,3.0,9.56
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90.0,40.66
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270.0,55.16
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28.0,37.81
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7.0,21.86
313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28.0,36.8
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,44.42
522.0,0.0,0.0,146.0,0.0,896.0,896.0,28.0,74.99
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0,20.87
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7.0,11.47
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90.0,36.59
273.0,0.0,90.0,199.0,11.0,931.0,762.0,28.0,32.24
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28.0,44.33
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7.0,25.42
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28.0,39.6
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3.0,11.41
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28.0,23.69
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56.0,51.43
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28.0,22.44
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28.0,38.7
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28.0,17.54
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.1
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,64.9
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.84
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14.0,25.69
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90.0,32.07
236.9,91.7,71.5,246.9,6.0,852.9,695.4,28.0,28.63
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28.0,37.43
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28.0,45.94
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14.0,12.84
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28.0,34.74
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89
298.2,0.0,107.0,209.7,11.1,879.6,744.2,28.0,31.88
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3.0,15.82
424.0,22.0,132.0,178.0,8.5,822.0,750.0,28.0,62.05
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3.0,6.94
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.29
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28.0,38.22
252.0,97.0,76.0,194.0,8.0,835.0,821.0,28.0,33.4
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.3
157.0,214.0,152.0,200.0,9.0,819.0,704.0,28.0,33.05
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28.0,29.07
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14.0,22.72
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56.0,51.26
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7.0,14.54
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7.0,10.73
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0,17.2
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28.0,32.04
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90.0,32.53
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.2
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28.0,23.52
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14.0,21.06
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28.0,40.23
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100.0,50.08
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.5
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3.0,17.22
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0,11.65
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3.0,23.08
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7.0,10.22
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7.0,21.18
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28.0,33.06
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3.0,9.85
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28.0,33.95
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28.0,44.28
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90.0,58.78
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28.0,15.52
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3.0,19.42
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14.0,17.82
385.0,0.0,0.0,186.0,0.0,966.0,763.0,7.0,23.22
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14.0,47.71
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7.0,35.75
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100.0,40.86
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28.0,41.2
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100.0,46.23
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28.0,17.54
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28.0,29.72
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90.0,34.68
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28.0,46.39
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56.0,66.78
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3.0,16.11
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28.0,29.41
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,38.02
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100.0,48.67
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7.0,8.0
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3.0,4.57
298.0,0.0,107.0,164.0,13.0,953.0,784.0,28.0,35.86
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100.0,48.15
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56.0,39.59
366.0,187.0,0.0,191.0,7.0,824.0,757.0,28.0,65.91
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,62.94
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14.0,26.77
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7.0,39.0
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28.0,26.92
424.0,22.0,132.0,168.0,8.9,822.0,750.0,56.0,74.36
143.6,0.0,174.9,158.4,17.9,942.7,844.5,28.0,15.42
299.8,0.0,119.8,211.5,9.9,878.2,727.6,28.0,23.84
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28.0,41.41
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,42.8
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.6
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56.0,23.25
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3.0,30.45
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14.0,25.37
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28.0,22.93
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91.0,57.6
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28.0,43.57
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28.0,18.42
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100.0,39.61
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90.0,48.79
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56.0,44.4
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100.0,33.56
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0,41.37
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3.0,23.52
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,17.24
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56.0,53.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28.0,45.71
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7.0,38.61
132.0,206.5,160.9,178.9,5.5,866.9,735.6,28.0,33.31
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28.0,24.48
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14.0,33.36
153.1,145.0,113.0,178.5,8.0,867.2,824.0,28.0,26.23
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28.0,44.03
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.8
295.7,0.0,95.6,171.5,8.9,955.1,859.2,56.0,48.72
250.0,0.0,95.7,191.8,5.3,948.9,857.2,28.0,27.22
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28.0,33.3
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7.0,13.66
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.17
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4
133.0,200.0,0.0,192.0,0.0,927.4,839.2,3.0,6.88
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28.0,17.6
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,3.0,15.34
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28.0,32.72
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100.0,56.06
